orgao,uasg,modalidade,objeto,data,valor,fornecedor,cnpj,categoria,keyword_found,link,status
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a EAD,2025-09-27,Valor não informado,Fornecedor não identificado,CNPJ não informado,EdTech geral,EAD,https://portaldatransparencia.gov.br/contratos/consulta?buscar=EAD,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a EAD,2025-09-27,Valor não informado,Busca Livre,CNPJ não informado,EdTech geral,EAD,https://portaldatransparencia.gov.br/contratos/consulta?buscar=EAD,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a ambiente virtual,2025-09-27,Valor não informado,Fornecedor não identificado,CNPJ não informado,EdTech geral,ambiente virtual,https://portaldatransparencia.gov.br/contratos/consulta?buscar=ambiente%20virtual,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a ambiente virtual,2025-09-27,Valor não informado,Busca Livre,CNPJ não informado,EdTech geral,ambiente virtual,https://portaldatransparencia.gov.br/contratos/consulta?buscar=ambiente%20virtual,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a plataforma digital ensino,2025-09-27,Valor não informado,Fornecedor não identificado,CNPJ não informado,EdTech geral,plataforma digital ensino,https://portaldatransparencia.gov.br/contratos/consulta?buscar=plataforma%20digital%20ensino,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a plataforma digital ensino,2025-09-27,Valor não informado,Busca Livre,CNPJ não informado,EdTech geral,plataforma digital ensino,https://portaldatransparencia.gov.br/contratos/consulta?buscar=plataforma%20digital%20ensino,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a idiomas,2025-09-27,Valor não informado,Fornecedor não identificado,CNPJ não informado,Idiomas,idiomas,https://portaldatransparencia.gov.br/contratos/consulta?buscar=idiomas,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a idiomas,2025-09-27,Valor não informado,Busca Livre,CNPJ não informado,Idiomas,idiomas,https://portaldatransparencia.gov.br/contratos/consulta?buscar=idiomas,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a língua inglesa,2025-09-27,Valor não informado,Fornecedor não identificado,CNPJ não informado,Idiomas,língua inglesa,https://portaldatransparencia.gov.br/contratos/consulta?buscar=l%C3%ADngua%20inglesa,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a língua inglesa,2025-09-27,Valor não informado,Busca Livre,CNPJ não informado,Idiomas,língua inglesa,https://portaldatransparencia.gov.br/contratos/consulta?buscar=l%C3%ADngua%20inglesa,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a curso inglês,2025-09-27,Valor não informado,Fornecedor não identificado,CNPJ não informado,Idiomas,curso inglês,https://portaldatransparencia.gov.br/contratos/consulta?buscar=curso%20ingl%C3%AAs,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a curso inglês,2025-09-27,Valor não informado,Busca Livre,CNPJ não informado,Idiomas,curso inglês,https://portaldatransparencia.gov.br/contratos/consulta?buscar=curso%20ingl%C3%AAs,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a ensino idiomas,2025-09-27,Valor não informado,Fornecedor não identificado,CNPJ não informado,Idiomas,ensino idiomas,https://portaldatransparencia.gov.br/contratos/consulta?buscar=ensino%20idiomas,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a ensino idiomas,2025-09-27,Valor não informado,Busca Livre,CNPJ não informado,Idiomas,ensino idiomas,https://portaldatransparencia.gov.br/contratos/consulta?buscar=ensino%20idiomas,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a língua estrangeira,2025-09-27,Valor não informado,Fornecedor não identificado,CNPJ não informado,Idiomas,língua estrangeira,https://portaldatransparencia.gov.br/contratos/consulta?buscar=l%C3%ADngua%20estrangeira,N/A
Órgão Federal (extrair do contexto),UASG não informada,Modalidade não informada,Contratação relacionada a língua estrangeira,2025-09-27,Valor não informado,Busca Livre,CNPJ não informado,Idiomas,língua estrangeira,https://portaldatransparencia.gov.br/contratos/consulta?buscar=l%C3%ADngua%20estrangeira,N/A
